number,state,created_at,merged_at,closed_at,title
26788,closed,2024-06-23 06:23:05+00:00,2024-06-26 08:03:12+00:00,2024-06-26 08:03:12+00:00,TYP: fix missing `sys` import in numeric.pyi
26784,closed,2024-06-22 05:56:49+00:00,,2024-09-24 16:45:44+00:00,ENH: Virtually implement __buffer__ for Python < 3.12 
26780,closed,2024-06-21 21:35:05+00:00,2024-07-12 17:42:41+00:00,2024-07-12 17:42:41+00:00,MAINT: use an atomic load/store and a mutex to initialize the argparse and runtime import caches
26776,closed,2024-06-21 15:20:44+00:00,2024-07-07 06:56:35+00:00,2024-07-07 06:56:35+00:00,BUG: remove numpy.f2py from excludedimports
26771,closed,2024-06-20 19:06:49+00:00,2024-06-25 08:51:37+00:00,2024-06-25 08:51:37+00:00,BUG: fix PyArray_ImportNumPyAPI under -Werror=strict-prototypes
26770,closed,2024-06-20 17:53:31+00:00,2024-06-20 22:45:31+00:00,2024-06-20 22:45:31+00:00,"DOC, NEP: Update NEP44"
26769,closed,2024-06-20 17:23:28+00:00,2024-07-14 16:20:06+00:00,2024-07-14 16:20:06+00:00,BUG: Quantile closest_observation to round to nearest even order
26766,closed,2024-06-20 14:43:18+00:00,2024-07-23 03:47:45+00:00,2024-07-23 03:47:45+00:00,ENH: Support integer dtype inputs in rounding functions
26762,closed,2024-06-19 23:32:05+00:00,2024-06-27 10:00:21+00:00,2024-06-27 10:00:21+00:00,BUG: fix max_rows and chunked string/datetime reading in ``loadtxt``
26760,closed,2024-06-19 19:32:07+00:00,2024-06-19 21:38:13+00:00,2024-06-19 21:38:13+00:00,TYP: fix incorrect import in ``ma/extras.pyi`` stub
26755,closed,2024-06-19 15:10:08+00:00,,2024-07-02 19:37:13+00:00,CI: add linux x86 32bit wheels
26751,closed,2024-06-18 23:57:06+00:00,,2024-06-26 02:57:15+00:00,Rewrite complex log1p to improve precision.
26750,closed,2024-06-18 21:37:22+00:00,2024-06-27 21:36:51+00:00,2024-06-27 21:36:51+00:00,ENH: Add locking to umath_linalg if no lapack is detected at build time
26745,open,2024-06-18 16:17:07+00:00,,,"ENH, DOC: Add support for interactive examples for NumPy with `jupyterlite-sphinx`"
26744,closed,2024-06-18 15:14:50+00:00,2024-07-06 11:56:13+00:00,2024-07-06 11:56:14+00:00,BUG: Fix new DTypes and new string promotion when signature is involved
26743,closed,2024-06-18 12:24:54+00:00,,2024-06-19 21:56:18+00:00,"TST: Fix fp_noncontiguous and fpclass on riscv64, use platform.machine() for improved portability on riscv64"
26742,closed,2024-06-18 11:56:18+00:00,2024-06-18 15:10:57+00:00,2024-06-18 15:10:57+00:00,DOC: Mention '1.25' legacy printing mode in ``set_printoptions``
26741,closed,2024-06-18 11:50:57+00:00,2024-06-18 15:09:25+00:00,2024-06-18 15:09:25+00:00,DOC: Remove mention of NaN and NAN aliases from constants
26739,closed,2024-06-18 09:51:22+00:00,2024-06-18 10:14:06+00:00,2024-06-18 10:14:06+00:00,DOC: Update NEPs statuses
26737,closed,2024-06-18 08:30:12+00:00,2024-06-20 22:51:34+00:00,2024-06-20 22:51:35+00:00,DOC: Extend release notes for #26611
26724,closed,2024-06-17 14:37:29+00:00,2024-07-01 06:30:36+00:00,2024-07-01 06:30:36+00:00,ENH: Add Array API 2023.12 version support
26722,closed,2024-06-17 13:52:07+00:00,2024-07-02 19:35:49+00:00,2024-07-02 19:35:49+00:00,DOC: Update roadmap a bit more
26721,closed,2024-06-17 13:44:45+00:00,2024-06-17 18:38:37+00:00,2024-06-17 18:38:37+00:00,"DOC, MAINT: Turn on version warning banner provided by PyData Sphinx Theme"
26717,closed,2024-06-17 10:31:08+00:00,2024-07-08 12:35:33+00:00,2024-07-08 12:35:33+00:00,DOC: Mention more error paths and try to consolidate import errors
26716,closed,2024-06-17 09:31:38+00:00,2024-07-01 07:53:46+00:00,2024-07-01 07:53:47+00:00,DOC: Add clarifications np.argpartition
26715,open,2024-06-16 23:53:48+00:00,,,CI: Add more skip conditions
26714,closed,2024-06-16 22:20:44+00:00,2024-06-17 11:26:26+00:00,2024-06-17 11:26:26+00:00,MAINT: Update main after 2.0.0 release.
26711,closed,2024-06-16 20:42:14+00:00,2024-06-16 22:09:12+00:00,2024-06-16 22:09:12+00:00,MAINT: prepare 2.0.x for further development
26708,open,2024-06-16 17:57:11+00:00,,,CI: Get a working F2PY Windows runner
26706,closed,2024-06-16 09:49:05+00:00,2024-06-16 12:38:42+00:00,2024-06-16 12:38:42+00:00,TST: Skip an f2py module test on Windows
26705,open,2024-06-16 07:31:23+00:00,,,DOC: Fix documentation to point to correct reduce
26703,closed,2024-06-16 03:59:53+00:00,2024-06-16 06:10:52+00:00,2024-06-16 06:10:52+00:00,BUG: Handle `--f77flags` and `--f90flags` for `meson`
26702,closed,2024-06-15 23:33:19+00:00,2024-06-16 05:52:38+00:00,2024-06-16 05:52:38+00:00,DOC: Added missing See Also sections in Polynomial module
26698,closed,2024-06-15 03:17:25+00:00,2024-06-15 18:09:53+00:00,2024-06-15 18:09:53+00:00,REL: Prepare for the NumPy 2.0.0 release [wheel build]
26697,closed,2024-06-15 00:59:28+00:00,2024-06-15 02:35:01+00:00,2024-06-15 02:35:01+00:00,BUG: Fix bug in numpy.pad()
26696,closed,2024-06-15 00:55:11+00:00,2024-06-15 02:35:26+00:00,2024-06-15 02:35:27+00:00,"BUG: weighted nanpercentile, nanquantile and  multi-dim q "
26695,closed,2024-06-15 00:51:41+00:00,2024-06-15 02:34:36+00:00,2024-06-15 02:34:36+00:00,BUG: Adds asanyarray to start of linalg.cross (#26667)
26694,closed,2024-06-14 23:59:01+00:00,2024-06-15 00:47:23+00:00,2024-06-15 00:47:23+00:00,DOC: document workaround for deprecation of dim-2 inputs to `cross`
26693,closed,2024-06-14 20:54:58+00:00,2024-06-18 20:02:15+00:00,2024-06-18 20:02:15+00:00,BUG: allow replacement in the dispatch cache
26692,closed,2024-06-14 12:44:35+00:00,2024-06-14 14:33:40+00:00,2024-06-14 14:33:41+00:00,DOC: document workaround for deprecation of dim-2 inputs to `cross`
26691,closed,2024-06-14 11:45:02+00:00,2024-06-14 14:20:47+00:00,2024-06-14 14:20:47+00:00,"BUILD: check for scipy-doctest, remove it from requirements"
26687,closed,2024-06-13 20:46:36+00:00,,2024-06-18 20:13:43+00:00,ENH: add locking to python lapacklite interface
26686,closed,2024-06-13 19:51:55+00:00,2024-06-14 09:39:48+00:00,2024-06-14 09:39:48+00:00,MAINT: Add comment lost in previous PR.
26685,closed,2024-06-13 17:34:43+00:00,2024-06-13 20:42:18+00:00,2024-06-13 20:42:18+00:00,MAINT: Bump github/codeql-action from 3.25.9 to 3.25.10
26684,closed,2024-06-13 17:34:32+00:00,2024-06-13 20:43:02+00:00,2024-06-13 20:43:02+00:00,MAINT: Bump pypa/cibuildwheel from 2.19.0 to 2.19.1
26683,closed,2024-06-13 13:11:51+00:00,,2024-06-13 13:20:07+00:00,add in development
26682,closed,2024-06-13 12:53:15+00:00,,2024-06-13 13:08:56+00:00,add in development
26680,closed,2024-06-13 09:29:20+00:00,2024-07-03 06:29:00+00:00,2024-07-03 06:29:00+00:00,"remove doctesting from refguide-check, add `spin check-tutorials`"
26679,closed,2024-06-13 00:38:36+00:00,2024-07-03 06:31:47+00:00,2024-07-03 06:31:47+00:00,DOC: add ``np.linalg`` examples
26677,closed,2024-06-12 23:59:13+00:00,2024-06-13 01:46:52+00:00,2024-06-13 01:46:52+00:00,CI: Use default llvm on Windows.
26676,closed,2024-06-12 22:52:07+00:00,2024-06-13 07:47:38+00:00,2024-06-13 07:47:38+00:00,MAINT: mark evil_global_disable_warn_O4O8_flag as thread-local
26675,closed,2024-06-12 22:29:06+00:00,2024-06-12 23:51:25+00:00,2024-06-12 23:51:25+00:00,CI: Use default llvm on Windows.
26674,closed,2024-06-12 21:14:59+00:00,2024-06-13 03:31:04+00:00,2024-06-13 03:31:04+00:00,MNT: catch invalid fixed-width dtype sizes
26673,closed,2024-06-12 20:42:55+00:00,2024-06-12 21:03:05+00:00,2024-06-12 21:03:05+00:00,CI: upgrade FreeBSD Cirrus job from FreeBSD 13.2 to 14.0
26672,closed,2024-06-12 19:10:48+00:00,2024-06-12 19:38:11+00:00,2024-06-12 19:38:11+00:00,CI: upgrade FreeBSD Cirrus job from FreeBSD 13.2 to 14.0
26670,closed,2024-06-12 17:45:13+00:00,2024-06-13 01:07:33+00:00,2024-06-13 01:07:33+00:00,MAINT: Bump github/codeql-action from 3.25.8 to 3.25.9
26667,closed,2024-06-12 09:11:12+00:00,2024-06-14 12:16:16+00:00,2024-06-14 12:16:16+00:00,BUG: Adds asanyarray to start of linalg.cross
26666,open,2024-06-12 08:37:02+00:00,,,WIP: top_k draft implementation
26665,closed,2024-06-12 02:46:48+00:00,,2024-06-12 03:07:42+00:00,he ananido una frase
26664,closed,2024-06-11 17:51:23+00:00,2024-06-11 19:50:37+00:00,2024-06-11 19:50:37+00:00,CI: build and upload free-threaded nightly wheels for macOS
26662,closed,2024-06-11 12:20:17+00:00,2024-06-11 20:09:41+00:00,2024-06-11 20:09:41+00:00,DOC: add CI and NEP commit acronyms
26659,closed,2024-06-10 17:59:16+00:00,2024-06-10 21:46:40+00:00,2024-06-10 21:46:40+00:00,BUG: Replace dots with underscores in f2py meson backend for lib identifiers
26658,closed,2024-06-10 17:15:16+00:00,2024-06-10 18:21:15+00:00,2024-06-10 18:21:15+00:00,MAINT: Bump pypa/cibuildwheel from 2.18.1 to 2.19.0
26657,closed,2024-06-10 14:07:32+00:00,2024-06-10 16:11:35+00:00,2024-06-10 16:11:35+00:00,BUG: fix memory leaks found with valgrind (next)
26655,closed,2024-06-10 04:05:03+00:00,2024-06-10 18:44:10+00:00,2024-06-10 18:44:10+00:00,CI: modified CI job to test editable install
26654,closed,2024-06-09 22:04:03+00:00,2024-06-09 22:48:46+00:00,2024-06-09 22:48:46+00:00,DOC: Set default as ``-j 1`` for spin docs and move ``-W`` to SPHINXOPTS
26653,closed,2024-06-09 21:47:25+00:00,2024-06-10 00:43:27+00:00,2024-06-10 00:43:27+00:00,BUG: Fix F77 ! comment handling
26652,closed,2024-06-09 21:29:11+00:00,2024-06-10 00:43:57+00:00,2024-06-10 00:43:57+00:00,BUG: Disallow string inputs for copy keyword in np.array and np.asarray
26651,closed,2024-06-09 21:25:58+00:00,2024-06-10 00:42:34+00:00,2024-06-10 00:42:34+00:00,DOC: Update 2.0 migration guide
26650,open,2024-06-09 20:58:26+00:00,,,BUG: add exception to searchsorted incompatible inputs
26648,closed,2024-06-09 16:07:15+00:00,,2024-06-10 19:30:17+00:00,CI: Add editable install tests
26646,closed,2024-06-09 12:01:19+00:00,2024-06-10 08:13:24+00:00,2024-06-10 08:13:24+00:00,DOC: Update docstring for invert function
26645,closed,2024-06-08 23:23:36+00:00,2024-06-09 10:48:22+00:00,2024-06-09 10:48:22+00:00,DOC: Enable web docs for numpy.trapezoid and add back links
26644,closed,2024-06-08 23:01:16+00:00,2024-06-12 19:00:13+00:00,2024-06-12 19:00:13+00:00,DOC: Added clean_dirs to spin docs to remove generated folders
26642,closed,2024-06-08 18:03:59+00:00,2024-10-14 16:11:59+00:00,2024-10-14 16:11:59+00:00,DOC: Add examples to ``np.char``
26641,closed,2024-06-07 10:37:05+00:00,2024-06-07 22:23:26+00:00,2024-06-07 22:23:26+00:00,DOC: Update 2.0 migration guide
26640,closed,2024-06-07 06:59:58+00:00,,2024-06-26 18:05:35+00:00,ENH: Adds cross2d to linalg (with Array API compatibility)
26639,closed,2024-06-07 03:43:04+00:00,2024-06-11 08:50:14+00:00,2024-06-11 08:50:14+00:00,MNT: more benchmark cleanup
26638,closed,2024-06-06 22:53:37+00:00,2024-06-07 01:38:26+00:00,2024-06-07 01:38:26+00:00,MNT: use reproducible RNG sequences in benchmarks
26637,closed,2024-06-06 19:45:20+00:00,2024-06-06 20:45:29+00:00,2024-06-06 20:45:30+00:00,BUG: fix incorrect randomized parameterization in bench_linalg
26636,closed,2024-06-06 17:19:37+00:00,2024-06-06 20:12:52+00:00,2024-06-06 20:12:52+00:00,MAINT: Bump actions/dependency-review-action from 4.3.2 to 4.3.3
26635,closed,2024-06-06 15:53:48+00:00,2024-06-12 18:12:13+00:00,2024-06-12 18:12:13+00:00,DOC: update 2.0 docs
26634,closed,2024-06-06 13:10:06+00:00,2024-06-09 22:47:37+00:00,2024-06-09 22:47:37+00:00,BUG: Replace dots with underscores in f2py meson backend for lib identifiers
26633,closed,2024-06-06 13:05:39+00:00,2024-06-06 14:08:41+00:00,2024-06-06 14:08:42+00:00,DOC: fix `matrix_transpose` doctest
26632,closed,2024-06-06 02:05:30+00:00,2024-06-06 11:34:56+00:00,2024-06-06 11:34:56+00:00,DOC: add `unique_values` example
26631,closed,2024-06-06 02:01:28+00:00,2024-06-06 11:33:44+00:00,2024-06-06 11:33:44+00:00,DOC: add `unique_inverse` example
26630,closed,2024-06-06 01:58:54+00:00,2024-06-06 11:32:07+00:00,2024-06-06 11:32:07+00:00,DOC: add `unique_counts` example
26629,closed,2024-06-06 01:56:01+00:00,2024-06-06 20:46:30+00:00,2024-06-06 20:46:30+00:00,DOC: add `unique_all` example
26628,closed,2024-06-06 01:41:13+00:00,2024-06-06 11:27:03+00:00,2024-06-06 11:27:03+00:00,DOC: add `matrix_transpose` example
26627,closed,2024-06-06 01:29:28+00:00,2024-06-06 15:17:51+00:00,2024-06-06 15:17:51+00:00,DOC: add `setbufsize` example
26626,closed,2024-06-06 01:21:33+00:00,2024-06-06 11:20:31+00:00,2024-06-06 11:20:31+00:00,DOC: add `getbufsize` example
26624,open,2024-06-05 19:54:32+00:00,,,TYP: type ma.min
26619,closed,2024-06-05 08:37:48+00:00,2024-06-05 09:22:41+00:00,2024-06-05 09:22:41+00:00,TST: Re-enable `test_shift_all_bits` on clang-cl
26618,closed,2024-06-05 08:18:01+00:00,,2024-06-05 08:18:06+00:00,Ci 24732 einsum x86 bug
26616,closed,2024-06-05 03:03:13+00:00,,2024-06-05 16:10:47+00:00,MNT: build numpy with link-time optimization in benchmarks
26614,closed,2024-06-04 17:48:32+00:00,2024-06-04 20:35:45+00:00,2024-06-04 20:35:45+00:00,MAINT: Bump github/codeql-action from 3.25.7 to 3.25.8
26611,closed,2024-06-04 15:16:37+00:00,2024-06-17 18:46:18+00:00,2024-06-17 18:46:18+00:00,MNT: Remove `set_string_function`
26610,closed,2024-06-04 10:35:48+00:00,2024-06-06 20:26:43+00:00,2024-06-06 20:26:43+00:00,BUG: np.take handle 64-bit indices on 32-bit platforms
26609,closed,2024-06-04 05:54:09+00:00,2024-06-06 11:12:54+00:00,2024-06-06 11:12:54+00:00,DOC: Updated notes and examples for np.insert.
26608,closed,2024-06-04 05:33:38+00:00,,2024-06-07 04:00:01+00:00,DOC: Update 2.0 release notes
26607,closed,2024-06-03 22:06:33+00:00,2024-06-19 20:22:04+00:00,2024-06-19 20:22:04+00:00,MNT: Reorganize non-constant global statics into structs
26606,closed,2024-06-03 19:18:47+00:00,2024-06-06 20:44:45+00:00,2024-06-06 20:44:45+00:00,DOC: Update randn() to use rng.standard_normal()
26605,closed,2024-06-03 19:16:19+00:00,2024-06-03 22:11:12+00:00,2024-06-03 22:11:12+00:00,DOC: fix typos in numpy v2.0 documentation
26604,closed,2024-06-03 18:27:21+00:00,2024-06-13 05:03:12+00:00,2024-06-13 05:03:12+00:00,refguide-check with pytest as a runner
26603,closed,2024-06-03 15:14:59+00:00,2024-06-05 18:59:38+00:00,2024-06-05 18:59:38+00:00,BUG: Disallow string inputs for ``copy`` keyword in ``np.array`` and ``np.asarray``
26602,closed,2024-06-03 09:28:55+00:00,2024-06-05 08:40:53+00:00,2024-06-05 08:40:53+00:00,TST: Re-enable int8/uint8 einsum tests
26601,closed,2024-06-03 07:35:15+00:00,2024-06-04 17:48:46+00:00,2024-06-04 17:48:46+00:00,DOC: backport doc changes to numpy.vectorize [skip ci]
26600,closed,2024-06-02 23:34:11+00:00,,2024-06-03 06:19:49+00:00,DOC: Try to fix the docs rendering of ``numpy.vectorize``
26599,closed,2024-06-02 18:14:00+00:00,2024-06-03 12:08:54+00:00,2024-06-03 12:08:55+00:00,ENH: use size-zero dtype for broadcast-shapes
26597,closed,2024-06-02 12:47:21+00:00,2024-06-11 11:25:47+00:00,2024-06-11 11:25:47+00:00,ENH: Better error message for axis=None in `np.put_along_axis` and `np.take_along_axis`
26595,open,2024-06-02 07:47:00+00:00,,,BUG: fix corner cases in complex division (were nan+nanj)
26594,closed,2024-06-02 03:56:42+00:00,2024-06-02 06:06:23+00:00,2024-06-02 06:06:23+00:00,DOC: Update constants.rst: fix URL redirect
26592,closed,2024-06-01 15:48:10+00:00,2024-06-01 16:47:22+00:00,2024-06-01 16:47:22+00:00,DOC: Various documentation updates
26591,closed,2024-06-01 15:21:47+00:00,2024-06-01 16:49:30+00:00,2024-06-01 16:49:30+00:00,BUG: Fix memory leaks found by valgrind
26590,closed,2024-06-01 11:34:23+00:00,,2024-06-06 14:16:03+00:00,ENH: Warn if ``mmap_mode`` is passed to ``np.load`` on zip-files
26589,closed,2024-05-31 22:59:41+00:00,2024-06-12 18:09:49+00:00,2024-06-12 18:09:49+00:00,BUG: catch invalid fixed-width dtype sizes
26587,closed,2024-05-31 18:08:53+00:00,2024-05-31 18:39:15+00:00,2024-05-31 18:39:15+00:00,DOC: Added web docs for missing ma and strings routines
26586,closed,2024-05-31 17:18:41+00:00,2024-05-31 18:36:17+00:00,2024-05-31 18:36:17+00:00,BUG: Fix memory leaks found by valgrind
26585,closed,2024-05-31 17:06:55+00:00,2024-05-31 17:58:34+00:00,2024-05-31 17:58:34+00:00,MAINT: Bump github/codeql-action from 3.25.6 to 3.25.7
26584,closed,2024-05-31 16:27:24+00:00,2024-05-31 17:56:45+00:00,2024-05-31 17:56:45+00:00,MAINT: Unpin pydata-sphinx-theme
26583,closed,2024-05-31 16:24:03+00:00,2024-05-31 17:56:24+00:00,2024-05-31 17:56:24+00:00,BUG: Fix memory leaks found with valgrind
26582,closed,2024-05-31 09:27:18+00:00,2024-06-14 14:37:36+00:00,2024-06-14 14:37:36+00:00,"BUG: weighted nanpercentile, nanquantile and  multi-dim q"
26580,closed,2024-05-31 07:20:59+00:00,2024-06-06 11:16:29+00:00,2024-06-06 11:16:29+00:00,ENH: Add copy and device keyword to np.asanyarray to match np.asarray
26579,closed,2024-05-30 19:13:29+00:00,2024-06-27 08:43:40+00:00,2024-06-27 08:43:40+00:00,ENH: Add unstack()
26578,closed,2024-05-30 19:13:17+00:00,,2024-05-31 21:36:22+00:00,BUG: Fix AxisError when only one argument is provided
26575,closed,2024-05-30 16:35:38+00:00,,2024-05-31 06:05:02+00:00,use pkg-config from rtools [skip ci][skip cirrus][skip circle]
26574,open,2024-05-30 11:54:15+00:00,,,CI: replace pkgconfig-lite from Chocolatey with `pip install pkgconf`
26572,closed,2024-05-29 22:30:54+00:00,2024-06-05 09:21:04+00:00,2024-06-05 09:21:04+00:00,ENH: Add array API inspection functions
26571,closed,2024-05-29 18:36:39+00:00,2024-05-31 17:21:33+00:00,2024-05-31 17:21:34+00:00,DOC: Added web docs for missing ma and strings routines
26570,closed,2024-05-29 16:45:48+00:00,2024-08-15 08:27:39+00:00,2024-08-15 08:27:39+00:00,"CI, BLD: Use `cibuildwheel` to build WASM NumPy wheels"
26569,closed,2024-05-29 16:42:28+00:00,2024-05-29 18:46:47+00:00,2024-05-29 18:46:47+00:00,MAINT: Avoid by-pointer parameter passing for LINEARIZE_DATA_t initialization
26568,closed,2024-05-29 15:40:51+00:00,2024-05-29 20:43:35+00:00,2024-05-29 20:43:35+00:00,MAINT: Unpin pydata-sphinx-theme
26567,closed,2024-05-29 13:03:27+00:00,2024-06-02 19:16:36+00:00,2024-06-02 19:16:36+00:00,BUG: fix memory leaks found with valgrind (next)
26566,closed,2024-05-29 09:16:43+00:00,2024-05-30 12:27:28+00:00,2024-05-30 12:27:28+00:00,DOC: update ufunc tutorials to use setuptools
26565,closed,2024-05-29 06:44:50+00:00,,2024-05-29 07:37:12+00:00,"Update README - Address issues with previous PR, add monthly downloads badge"
26564,closed,2024-05-28 21:22:12+00:00,2024-05-29 06:36:37+00:00,2024-05-29 06:36:37+00:00,"CI, BLD: Upgrade to Pyodide 0.26.0 for Emscripten/Pyodide CI job"
26563,closed,2024-05-28 19:47:41+00:00,2024-05-29 06:18:50+00:00,2024-05-29 06:18:50+00:00,BUG: Fix memory leaks found with valgrind
26562,closed,2024-05-28 17:32:36+00:00,2024-05-28 19:12:40+00:00,2024-05-28 19:12:40+00:00,MAINT: Bump mamba-org/setup-micromamba from 1.8.1 to 1.9.0
26559,closed,2024-05-28 08:17:34+00:00,2024-05-29 06:32:45+00:00,2024-05-29 06:32:45+00:00,BUG: fix setxor1d when input arrays aren't 1D
26558,closed,2024-05-27 22:58:03+00:00,2024-07-03 16:38:52+00:00,2024-07-03 16:38:52+00:00,BUG: fancy indexing copy
26555,closed,2024-05-27 18:42:26+00:00,2024-05-27 21:40:10+00:00,2024-05-27 21:40:10+00:00,BUG: Fix typo in array-wrap code that lead to memory leak
26554,closed,2024-05-27 18:38:00+00:00,2024-05-27 21:39:37+00:00,2024-05-27 21:39:37+00:00,BUG: Fix in1d fast-path range
26552,closed,2024-05-27 12:27:29+00:00,2024-05-27 18:34:04+00:00,2024-05-27 18:34:04+00:00,BUG: Fix in1d fast-path range
26550,closed,2024-05-27 08:43:28+00:00,2024-07-06 09:35:30+00:00,2024-07-06 09:35:30+00:00,BUG: Make Polynomial evaluation adhere to nep 50
26549,closed,2024-05-27 08:30:05+00:00,,2024-05-27 08:31:55+00:00,Fix
26548,closed,2024-05-27 07:24:33+00:00,2024-05-27 13:40:42+00:00,2024-05-27 13:40:42+00:00,BUG: Fix typo in array-wrap code that lead to memory leak
26546,closed,2024-05-26 22:29:34+00:00,2024-05-27 06:03:16+00:00,2024-05-27 06:03:16+00:00,MAINT: Remove redundant print from bug report issue template
26544,closed,2024-05-26 20:16:01+00:00,2024-05-26 21:27:04+00:00,2024-05-26 21:27:04+00:00,BUG: Fix handling of size=() in Generator.choice when a.ndim > 1.
26543,closed,2024-05-26 20:08:10+00:00,2024-05-26 21:27:34+00:00,2024-05-26 21:27:34+00:00,BUG: fix assert in PyArry_ConcatenateArrays with StringDType
26541,closed,2024-05-26 18:22:30+00:00,2024-05-26 20:02:42+00:00,2024-05-26 20:02:42+00:00,BUG: fix incorrect error handling for dtype('a') deprecation
26540,closed,2024-05-26 18:17:09+00:00,2024-05-26 19:19:42+00:00,2024-05-26 19:19:42+00:00,BLD: Make NumPy build reproducibly 
26539,closed,2024-05-26 18:12:33+00:00,2024-05-26 19:10:57+00:00,2024-05-26 19:10:57+00:00,ENH: improve the error raised by ``numpy.isdtype`` 
26538,closed,2024-05-26 17:39:00+00:00,2024-05-30 19:59:38+00:00,2024-05-30 19:59:39+00:00,DOC: Update ``gradient`` docstrings
26537,closed,2024-05-26 17:38:55+00:00,2024-06-02 19:07:41+00:00,2024-06-02 19:07:41+00:00,BUG: Fix F77 ! comment handling
26536,closed,2024-05-26 16:55:10+00:00,2024-05-26 18:06:28+00:00,2024-05-26 18:06:28+00:00,"BUG: cast missing in PyPy-specific f2py code, pin spin in CI (#26534)"
26534,closed,2024-05-26 08:27:48+00:00,2024-05-26 13:04:24+00:00,2024-05-26 13:04:24+00:00,"BUG: cast missing in PyPy-specific f2py code, pin spin in CI"
26531,closed,2024-05-25 11:50:17+00:00,2024-05-26 01:26:05+00:00,2024-05-26 01:26:05+00:00,BUG: Fix entry-point of Texinfo docs
26529,closed,2024-05-25 02:46:29+00:00,2024-06-02 09:18:04+00:00,2024-06-02 09:18:04+00:00,BUG: ``PyDataMem_SetHandler`` check capsule name
26528,closed,2024-05-24 22:26:10+00:00,,2024-07-23 00:46:42+00:00,TYP: Add type stub from StringDType
26527,closed,2024-05-24 20:40:03+00:00,2024-05-25 18:42:59+00:00,2024-05-25 18:42:59+00:00,DOC: fix NEP 50 reference
26526,closed,2024-05-24 20:09:48+00:00,2024-05-25 07:28:16+00:00,2024-05-25 07:28:16+00:00,BUG: fix assert in PyArry_ConcatenateArrays with StringDType
26524,closed,2024-05-24 18:08:01+00:00,2024-05-24 19:34:06+00:00,2024-05-24 19:34:06+00:00,BUG: fix incorrect error handling for dtype('a') deprecation
26520,closed,2024-05-24 13:10:16+00:00,2024-05-26 16:30:27+00:00,2024-05-26 16:30:27+00:00,BUG: Fix handling of size=() in Generator.choice when a.ndim > 1.
26519,closed,2024-05-24 10:23:34+00:00,2024-05-28 06:25:08+00:00,2024-05-28 06:25:08+00:00,MAINT: Avoid by-pointer parameter passing for LINEARIZE_DATA_t initialization
26517,closed,2024-05-24 09:41:31+00:00,2024-05-24 16:46:05+00:00,2024-05-24 16:46:05+00:00,DOC: Add missing functions to the migration guide
26515,closed,2024-05-24 06:44:04+00:00,2024-05-24 09:50:42+00:00,2024-05-24 09:50:42+00:00,MAINT: Fix GCC -Wmaybe-uninitialized warning
26514,closed,2024-05-23 23:38:20+00:00,2024-05-24 05:32:37+00:00,2024-05-24 05:32:37+00:00,MAINT: Avoid gcc compiler warning
26512,closed,2024-05-23 20:02:14+00:00,2024-05-27 22:37:22+00:00,2024-05-27 22:37:22+00:00,CI: enable free-threaded wheel builds [wheel build]
26511,closed,2024-05-23 17:48:40+00:00,2024-05-23 20:42:36+00:00,2024-05-23 20:42:36+00:00,MAINT: Bump mamba-org/setup-micromamba from 1.8.1 to 1.9.0
26509,open,2024-05-23 14:08:22+00:00,,,FIX: Fixed np.load time when file is large & compressed.
26508,open,2024-05-23 01:24:20+00:00,,,BUG: polyval with builtin python types for x follows NEP50
26507,closed,2024-05-22 22:59:04+00:00,2024-05-23 10:36:49+00:00,2024-05-23 10:36:49+00:00,MAINT: mark temp elision address cache as thread local
26505,closed,2024-05-22 18:52:46+00:00,2024-06-16 09:00:32+00:00,2024-06-16 09:00:32+00:00,DOC: update the NumPy Roadmap
26504,closed,2024-05-22 18:41:53+00:00,2024-05-22 19:02:46+00:00,2024-05-22 19:02:46+00:00,DOC: Copy-edit numpy 2.0 migration guide.
26503,closed,2024-05-22 17:55:56+00:00,2024-05-23 01:58:49+00:00,2024-05-23 01:58:49+00:00,TST: work around flaky test on free-threaded build
26502,closed,2024-05-22 14:36:19+00:00,,2024-05-23 10:16:59+00:00,BUG: don't fail hard when parsing version in GnuFCompiler
26501,closed,2024-05-22 13:53:16+00:00,2024-06-05 06:51:58+00:00,2024-06-05 06:51:58+00:00,ENH: Implement DLPack version 1
26500,closed,2024-05-22 10:14:06+00:00,,2024-05-22 15:21:21+00:00,Add monthly downloads badge to README
26497,closed,2024-05-21 21:12:54+00:00,,2024-06-03 22:14:05+00:00,MAINT: fix thread-unsafe cache initialization in PyUFunc_TrueDivisionTypeResolver
26496,closed,2024-05-21 16:52:56+00:00,,2024-05-30 07:44:54+00:00,ENH: add bfill functionality to numpy._core
26492,closed,2024-05-21 01:31:59+00:00,2024-05-21 05:13:05+00:00,2024-05-21 05:13:05+00:00,DOC: fix rng.random example in numpy-for-matlab-users
26490,closed,2024-05-20 20:12:14+00:00,,2024-09-19 13:45:47+00:00,[WIP] DOC: remove numpy.distutils references from f2py docs
26489,closed,2024-05-20 19:41:46+00:00,2024-05-21 08:10:36+00:00,2024-05-21 08:10:36+00:00,DOC: add example to get_include
26488,closed,2024-05-20 19:24:04+00:00,2024-05-21 08:07:45+00:00,2024-05-21 08:07:45+00:00,DOC: add examples to get_printoptions
26487,closed,2024-05-20 17:42:56+00:00,2024-05-20 18:29:08+00:00,2024-05-20 18:29:08+00:00,MAINT: Bump pypa/cibuildwheel from 2.18.0 to 2.18.1
